dat,OzoneLamp,PAMLamps2,Irradiance,RH,Temp,SLFC_SLPM
11/8/2022 0:01,10,10,99.860457,29.18677,24.32175,-1.38830989
11/8/2022 0:01,10,10,99.860457,29.18677,24.33247,-1.385489988
11/8/2022 0:01,10,10,100.7326007,29.18677,24.33247,-1.38830989
11/8/2022 0:01,10,10,99.42438514,29.18677,24.32175,-1.38830989
11/8/2022 0:01,10,10,99.860457,29.18677,24.32175,-1.38830989
11/8/2022 0:01,10,10,98.11616954,29.22491,24.32175,-1.38830989
11/8/2022 0:01,10,10,99.42438514,29.18677,24.32175,-1.38830989
11/8/2022 0:01,10,10,98.98831327,29.18677,24.32175,-1.38830989
11/8/2022 0:01,10,10,98.98831327,29.22491,24.32175,-1.38830989
11/8/2022 0:01,10,10,99.42438514,29.18677,24.32175,-1.385489988
11/8/2022 0:01,10,10,100.2965289,29.18677,24.32175,-1.391129792
11/8/2022 0:01,10,10,98.98831327,29.22491,24.32175,-1.382670085
11/8/2022 0:01,10,10,100.7326007,29.18677,24.32175,-1.38830989
11/8/2022 0:01,10,10,99.860457,29.18677,24.32175,-1.38830989
11/8/2022 0:01,10,10,99.860457,29.22491,24.32175,-1.391129792
11/8/2022 0:01,10,10,99.42438514,29.18677,24.32175,-1.385489988
11/8/2022 0:01,10,10,98.98831327,29.18677,24.32175,-1.396769597
11/8/2022 0:01,10,10,99.860457,29.22491,24.32175,-1.38830989
11/8/2022 0:02,10,10,99.860457,29.18677,24.32175,-1.391129792
11/8/2022 0:02,10,10,99.42438514,29.22491,24.33247,-1.38830989
11/8/2022 0:02,10,10,99.860457,29.18677,24.32175,-1.38830989
11/8/2022 0:02,10,10,100.2965289,29.22491,24.32175,-1.391129792
11/8/2022 0:02,10,10,99.42438514,29.22491,24.32175,-1.38830989
11/8/2022 0:02,10,10,99.42438514,29.22491,24.32175,-1.38830989
11/8/2022 0:02,10,10,99.42438514,29.18677,24.32175,-1.385489988
