dat,OzoneLamp,PAMLamps2,Irradiance,RH,Temp,SLFC_SLPM
11/7/2022 7:33,10,10,96.80795395,42.65265,23.96782,-1.391129792
11/7/2022 7:33,10,10,95.06366649,33.18457,23.88202,-1.385489988
11/7/2022 7:33,10,10,95.06366649,33.18457,23.88202,-1.385489988
11/7/2022 7:33,10,10,95.06366649,33.18457,23.89274,-1.38830989
11/7/2022 7:33,10,10,95.06366649,33.18457,23.89274,-1.382670085
11/7/2022 7:33,10,10,95.49973836,33.14642,23.89274,-1.391129792
11/7/2022 7:33,10,10,94.62759463,33.18457,23.88202,-1.379850183
11/7/2022 7:33,10,10,95.06366649,33.18457,23.88202,-1.379850183
11/7/2022 7:33,10,10,94.62759463,33.18457,23.89274,-1.379850183
11/7/2022 7:33,10,10,94.62759463,33.14642,23.89274,-1.38830989
11/7/2022 7:33,10,10,95.06366649,33.14642,23.89274,-1.391129792
11/7/2022 7:33,10,10,95.93581022,33.14642,23.89274,-1.38830989
11/7/2022 7:33,10,10,95.06366649,33.14642,23.88202,-1.385489988
11/7/2022 7:33,10,10,94.62759463,33.14642,23.89274,-1.391129792
11/7/2022 7:33,10,10,95.49973836,33.14642,23.89274,-1.38830989
11/7/2022 7:33,10,10,95.06366649,33.14642,23.89274,-1.385489988
11/7/2022 7:33,10,10,94.62759463,33.14642,23.89274,-1.385489988
11/7/2022 7:33,10,10,95.06366649,33.14642,23.89274,-1.391129792
11/7/2022 7:33,10,10,95.06366649,33.14642,23.89274,-1.379850183
11/7/2022 7:33,10,10,95.49973836,33.14642,23.89274,-1.385489988
11/7/2022 7:33,10,10,95.06366649,33.14642,23.88202,-1.385489988
11/7/2022 7:33,10,10,95.49973836,33.14642,23.89274,-1.38830989
11/7/2022 7:33,10,10,75.44043258,33.14642,23.89274,-1.379850183
11/7/2022 7:33,10,10,0,33.14642,23.89274,-1.38830989
11/7/2022 7:33,10,10,0,33.14642,23.89274,-1.377030281
11/7/2022 7:33,10,10,0,33.14642,23.89274,-1.379850183
11/7/2022 7:33,10,10,0,33.14642,23.89274,-1.377030281
11/7/2022 7:33,10,10,0,33.14642,23.89274,-1.38830989
11/7/2022 7:33,10,10,0,33.14642,23.89274,-1.385489988
11/7/2022 7:33,10,10,0,33.14642,23.89274,-1.379850183
11/7/2022 7:33,10,10,0,33.14642,23.89274,-1.379850183
11/7/2022 7:33,10,10,0,33.14642,23.89274,-1.382670085
11/7/2022 7:33,10,10,0,33.14642,23.89274,-1.379850183
11/7/2022 7:33,10,10,0,33.14642,23.89274,-1.38830989
11/7/2022 7:33,10,10,0,33.14642,23.89274,-1.391129792
11/7/2022 7:33,10,10,0,33.14642,23.89274,-1.382670085
11/7/2022 7:33,10,10,0,33.14642,23.89274,-1.382670085
11/7/2022 7:33,10,10,0,33.14642,23.89274,-1.385489988
11/7/2022 7:33,10,10,0,33.14642,23.89274,-1.38830989
11/7/2022 7:33,10,10,0,33.14642,23.89274,-1.379850183
11/7/2022 7:33,10,10,0,33.14642,23.89274,-1.382670085
11/7/2022 7:33,10,10,0,33.14642,23.89274,-1.382670085
11/7/2022 7:33,10,10,0,33.14642,23.89274,-1.385489988
11/7/2022 7:33,10,10,0,33.14642,23.89274,-1.382670085
11/7/2022 7:33,10,10,0,33.14642,23.89274,-1.382670085
11/7/2022 7:33,10,10,0,33.14642,23.89274,-1.379850183
11/7/2022 7:33,10,10,0,33.14642,23.89274,-1.382670085
11/7/2022 7:34,10,10,0,33.14642,23.89274,-1.382670085
11/7/2022 7:34,10,10,0,33.14642,23.89274,-1.382670085
11/7/2022 7:34,10,10,0,33.14642,23.89274,-1.385489988
11/7/2022 7:34,10,10,0,33.14642,23.89274,-1.382670085
11/7/2022 7:34,10,10,0,33.14642,23.89274,-1.382670085
11/7/2022 7:34,10,10,0,33.14642,23.89274,-1.382670085
11/7/2022 7:34,10,10,0,33.14642,23.89274,-1.382670085
11/7/2022 7:34,10,10,0,33.14642,23.89274,-1.368570574
11/7/2022 7:34,10,10,0,33.14642,23.89274,-1.385489988
11/7/2022 7:34,10,10,0,33.14642,23.89274,-1.377030281
11/7/2022 7:34,10,10,0,33.14642,23.89274,-1.379850183
11/7/2022 7:34,10,10,0,33.14642,23.89274,-1.382670085
11/7/2022 7:34,10,10,0,33.14642,23.89274,-1.385489988
11/7/2022 7:34,10,10,0,33.14642,23.89274,-1.382670085
11/7/2022 7:34,10,10,0,33.14642,23.89274,-1.379850183
11/7/2022 7:34,10,10,0,33.14642,23.89274,-1.382670085
11/7/2022 7:34,10,10,0,33.14642,23.89274,-1.371390476
11/7/2022 7:34,10,10,0,33.14642,23.89274,-1.38830989
11/7/2022 7:34,10,10,0,33.14642,23.89274,-1.382670085
11/7/2022 7:34,10,10,0,33.14642,23.89274,-1.382670085
11/7/2022 7:34,10,10,0,33.14642,23.89274,-1.382670085
11/7/2022 7:34,10,10,0,33.14642,23.88202,-1.379850183
11/7/2022 7:34,10,10,0,33.14642,23.89274,-1.38830989
11/7/2022 7:34,10,10,0,33.14642,23.89274,-1.38830989
11/7/2022 7:34,10,10,0,33.14642,23.89274,-1.385489988
11/7/2022 7:34,10,10,0,33.14642,23.89274,-1.377030281
11/7/2022 7:34,10,10,0,33.14642,23.89274,-1.382670085
11/7/2022 7:34,10,10,0,33.14642,23.89274,-1.379850183
11/7/2022 7:34,10,10,0,33.14642,23.89274,-1.382670085
11/7/2022 7:34,10,10,0,33.14642,23.89274,-1.379850183
11/7/2022 7:34,10,10,0,33.14642,23.89274,-1.382670085
