Log Number,Ozone,Cell Temp,Cell Pressure,Flow Rate,PDV,Date,Time
-1,2.12,25.3,984.4,1029,1.4893,29/11/22,13:43:30
-1,2.06,25.3,984.3,1029,1.4957,29/11/22,13:43:40
-1,2.01,25.3,984.2,1003,1.4925,29/11/22,13:43:50
-1,1.97,25.4,984.3,988,1.4985,29/11/22,13:44:00
-1,1.93,25.5,984.6,1006,1.4955,29/11/22,13:44:10
-1,1.89,25.5,984.7,1006,1.5013,29/11/22,13:44:20
-1,1.84,25.8,984.3,986,1.4984,29/11/22,13:44:30
-1,1.8,25.7,984.7,972,1.5039,29/11/22,13:44:40
-1,1.75,25.8,984.4,975,1.5012,29/11/22,13:44:50
-1,1.72,25.8,984.4,1004,1.5065,29/11/22,13:45:00
-1,1.68,25.8,984.5,998,1.5039,29/11/22,13:45:10
-1,1.64,25.8,985.1,1076,1.5091,29/11/22,13:45:20
-1,1.62,25.8,984.2,1070,1.5065,29/11/22,13:45:30
-1,1.58,25.8,983.8,1039,1.5115,29/11/22,13:45:40
-1,1.55,25.8,983.8,1026,1.5091,29/11/22,13:45:50
-1,1.53,25.8,984.3,1036,1.514,29/11/22,13:46:00
-1,1.5,25.9,984.6,1031,1.5117,29/11/22,13:46:10
-1,1.47,26,983.8,1027,1.5164,29/11/22,13:46:20
-1,1.45,26.1,984.2,1037,1.5141,29/11/22,13:46:30
-1,1.43,26.2,983.4,1028,1.5187,29/11/22,13:46:40
-1,1.4,26.3,983.5,989,1.5166,29/11/22,13:46:50
-1,1.38,26.3,985,1026,1.5211,29/11/22,13:47:00
-1,1.35,26.3,984.5,986,1.5191,29/11/22,13:47:10
-1,1.33,26.3,984.5,1063,1.5234,29/11/22,13:47:20
-1,1.31,26.3,984.3,1047,1.5215,29/11/22,13:47:30
-1,1.29,26.3,972.6,979,1.5258,29/11/22,13:47:40
-1,1.26,26.3,972.9,922,1.524,29/11/22,13:47:50
-1,1.24,26.3,973.3,899,1.528,29/11/22,13:48:00
-1,1.23,26.3,970.4,894,1.5263,29/11/22,13:48:10
-1,1.21,26.3,970.3,881,1.5303,29/11/22,13:48:20
-1,1.19,26.4,970.3,863,1.5288,29/11/22,13:48:30
-1,1.15,26.5,970,847,1.5326,29/11/22,13:48:40
-1,1.13,26.6,970,833,1.531,29/11/22,13:48:50
-1,1.13,26.7,970.6,820,1.5349,29/11/22,13:49:00
-1,1.13,26.8,970.1,805,1.5333,29/11/22,13:49:10
-1,1.13,26.8,970.6,836,1.537,29/11/22,13:49:20
-1,1.14,26.8,972.7,835,1.5353,29/11/22,13:49:30
-1,1.17,26.8,970.2,850,1.5393,29/11/22,13:49:40
-1,1.18,26.8,970.1,852,1.5376,29/11/22,13:49:50
-1,1.14,26.8,969.5,829,1.5415,29/11/22,13:50:00
-1,1.08,26.8,969.8,825,1.5401,29/11/22,13:50:10
-1,1.04,26.8,969.9,820,1.5437,29/11/22,13:50:20
-1,0.95,26.8,969.6,807,1.5425,29/11/22,13:50:30
-1,0.8,26.8,970,786,1.5459,29/11/22,13:50:40
-1,0.8,26.8,970.5,811,1.5448,29/11/22,13:50:50
-1,0.87,26.8,971.2,804,1.548,29/11/22,13:51:00
-1,0.84,27,969.5,808,1.5471,29/11/22,13:51:10
-1,0.82,27.2,969.4,830,1.5502,29/11/22,13:51:20
-1,0.77,27.2,969.8,809,1.5495,29/11/22,13:51:30
-1,0.72,27.3,969.3,837,1.5523,29/11/22,13:51:40
-1,0.69,27.3,970.9,821,1.5516,29/11/22,13:51:50
-1,0.68,27.3,971,821,1.5544,29/11/22,13:52:00
-1,0.69,27.3,970.5,838,1.5537,29/11/22,13:52:10
-1,0.68,27.3,971,804,1.5566,29/11/22,13:52:20
-1,0.52,27.3,971.2,823,1.5576,29/11/22,13:52:30
-1,0.28,27.3,970.9,823,1.5585,29/11/22,13:52:40
-1,0.42,27.3,974,853,1.5579,29/11/22,13:52:50
-1,0.65,27.3,972.6,859,1.5605,29/11/22,13:53:00
-1,0.65,27.3,971.2,855,1.5599,29/11/22,13:53:10
-1,0.65,27.6,972,855,1.5625,29/11/22,13:53:20
-1,0.65,27.6,971,837,1.5619,29/11/22,13:53:30
-1,0.64,27.8,972,829,1.5641,29/11/22,13:53:40
-1,0.63,27.8,972.2,838,1.5635,29/11/22,13:53:50
-1,0.63,27.8,972.2,811,1.566,29/11/22,13:54:00
-1,0.64,27.8,970.5,815,1.5654,29/11/22,13:54:10
-1,0.63,27.8,972.1,799,1.5679,29/11/22,13:54:20
-1,0.62,27.8,974.9,823,1.5673,29/11/22,13:54:30
-1,0.62,27.8,973.3,831,1.5698,29/11/22,13:54:40
-1,0.61,27.8,972.4,831,1.5693,29/11/22,13:54:50
-1,0.6,27.8,971.8,834,1.5717,29/11/22,13:55:00
-1,0.59,27.8,973.1,833,1.5727,29/11/22,13:55:10
-1,0.39,27.8,971.6,825,1.5737,29/11/22,13:55:20
-1,0.13,27.8,970.3,819,1.5744,29/11/22,13:55:30
-1,0.1,27.9,971.5,819,1.5755,29/11/22,13:55:40
-1,0.27,28.1,971.2,822,1.5751,29/11/22,13:55:50
-1,0.47,28.1,971.3,821,1.5774,29/11/22,13:56:00
-1,0.53,28.2,971.5,805,1.577,29/11/22,13:56:10
-1,0.53,28.3,971.6,800,1.5792,29/11/22,13:56:20
-1,0.52,28.3,970.6,814,1.5789,29/11/22,13:56:30
-1,0.52,28.3,971.8,809,1.5811,29/11/22,13:56:40
-1,0.52,28.3,970.8,830,1.5807,29/11/22,13:56:50
-1,0.51,28.3,971.4,814,1.5829,29/11/22,13:57:00
-1,0.51,28.3,971.1,823,1.5826,29/11/22,13:57:10
-1,0.5,28.3,970.5,835,1.5847,29/11/22,13:57:20
-1,0.49,28.3,971.6,826,1.5844,29/11/22,13:57:30
-1,0.49,28.3,971.5,838,1.5865,29/11/22,13:57:40
-1,0.48,28.3,971.4,838,1.5863,29/11/22,13:57:50
-1,0.48,28.3,971.3,836,1.5883,29/11/22,13:58:00
-1,0.47,28.4,972.2,836,1.588,29/11/22,13:58:10
-1,0.47,28.4,971.5,826,1.5901,29/11/22,13:58:20
-1,0.46,28.5,971.5,803,1.5898,29/11/22,13:58:30
-1,0.46,28.6,971.1,799,1.5918,29/11/22,13:58:40
-1,0.45,28.7,970.6,796,1.5916,29/11/22,13:58:50
-1,0.44,28.7,970.5,796,1.5935,29/11/22,13:59:00
-1,0.44,28.8,971.5,815,1.5933,29/11/22,13:59:10
-1,0.43,28.8,970.9,819,1.5952,29/11/22,13:59:20
-1,0.43,28.8,971.2,836,1.595,29/11/22,13:59:30
-1,0.42,28.8,970.4,828,1.5969,29/11/22,13:59:40
-1,0.42,28.8,970.9,819,1.5966,29/11/22,13:59:50
-1,0.41,28.8,971.5,826,1.5985,29/11/22,14:00:00
-1,0.41,28.8,971.5,818,1.5983,29/11/22,14:00:10
-1,0.4,28.8,970.4,825,1.6001,29/11/22,14:00:20
-1,0.4,28.8,970.7,825,1.5999,29/11/22,14:00:30
-1,0.39,28.8,970.5,816,1.6016,29/11/22,14:00:40
-1,0.39,28.8,970.3,815,1.6014,29/11/22,14:00:50
-1,0.38,29,970.4,817,1.6031,29/11/22,14:01:00
-1,0.38,29,970.7,808,1.603,29/11/22,14:01:10
-1,0.37,29.1,970.7,821,1.6047,29/11/22,14:01:20
-1,0.36,29.2,971.2,813,1.6045,29/11/22,14:01:30
-1,0.36,29.2,971.1,817,1.6062,29/11/22,14:01:40
-1,0.36,29.2,970.8,817,1.6061,29/11/22,14:01:50
-1,0.36,29.2,971.1,817,1.6078,29/11/22,14:02:00
-1,0.35,29.2,970.4,818,1.6077,29/11/22,14:02:10
-1,0.35,29.2,971.5,817,1.6093,29/11/22,14:02:20
-1,0.34,29.2,971.5,816,1.6092,29/11/22,14:02:30
-1,0.33,29.2,971.3,818,1.6108,29/11/22,14:02:40
-1,0.33,29.2,970.3,818,1.6107,29/11/22,14:02:50
-1,0.33,29.2,970.5,823,1.6123,29/11/22,14:03:00
-1,0.33,29.2,971.3,816,1.6122,29/11/22,14:03:10
-1,0.32,29.2,970.4,816,1.6138,29/11/22,14:03:20
-1,0.31,29.2,971.2,813,1.6137,29/11/22,14:03:30
-1,0.31,29.3,970.9,816,1.6152,29/11/22,14:03:40
-1,0.31,29.5,970.3,820,1.6152,29/11/22,14:03:50
-1,0.31,29.6,970,816,1.6167,29/11/22,14:04:00
-1,0.3,29.5,971.2,819,1.6166,29/11/22,14:04:10
-1,0.3,29.6,971,820,1.6181,29/11/22,14:04:20
-1,0.29,29.7,971.6,820,1.6181,29/11/22,14:04:30
-1,0.29,29.7,971.4,818,1.6195,29/11/22,14:04:40
-1,0.29,29.7,971.3,820,1.6195,29/11/22,14:04:50
-1,0.29,29.7,970.8,820,1.6209,29/11/22,14:05:00
-1,0.28,29.7,970.4,818,1.6209,29/11/22,14:05:10
-1,0.28,29.7,970.8,818,1.6223,29/11/22,14:05:20
-1,0.27,29.7,971.2,818,1.6223,29/11/22,14:05:30
-1,0.27,29.7,970.9,818,1.6236,29/11/22,14:05:40
-1,0.27,29.7,970.1,817,1.6237,29/11/22,14:05:50
-1,0.27,29.7,970.8,816,1.625,29/11/22,14:06:00
-1,0.26,29.7,970.6,816,1.625,29/11/22,14:06:10
-1,0.26,29.7,969.9,815,1.6263,29/11/22,14:06:20
-1,0.26,29.8,971.5,816,1.6264,29/11/22,14:06:30
-1,0.25,29.8,970.4,817,1.6276,29/11/22,14:06:40
-1,0.25,29.9,971.8,817,1.6277,29/11/22,14:06:50
-1,0.25,29.9,970.2,817,1.629,29/11/22,14:07:00
-1,0.25,30,970.6,816,1.629,29/11/22,14:07:10
